date;value
2019/05/01 00:00:00;173
2019/05/01 01:00:00;170
2019/05/01 02:00:00;148
2019/05/01 03:00:00;147
2019/05/01 04:00:00;166
2019/05/01 05:00:00;140
2019/05/01 06:00:00;164
2019/05/01 07:00:00;144
2019/05/01 08:00:00;102
2019/05/01 09:00:00;161
2019/05/01 10:00:00;494
2019/05/01 11:00:00;932
2019/05/01 12:00:00;1042
2019/05/01 13:00:00;868
2019/05/01 14:00:00;405
2019/05/01 15:00:00;631
2019/05/01 16:00:00;184
2019/05/01 17:00:00;178
2019/05/01 18:00:00;250
2019/05/01 19:00:00;197
2019/05/01 20:00:00;229
2019/05/01 21:00:00;190
2019/05/01 22:00:00;204
2019/05/01 23:00:00;199
2019/05/02 00:00:00;820
2019/05/02 01:00:00;197
2019/05/02 02:00:00;191
2019/05/02 03:00:00;148
2019/05/02 04:00:00;118
2019/05/02 05:00:00;130
2019/05/02 06:00:00;112
2019/05/02 07:00:00;126
2019/05/02 08:00:00;113
2019/05/02 09:00:00;117
2019/05/02 10:00:00;121
2019/05/02 11:00:00;162
2019/05/02 12:00:00;296
2019/05/02 13:00:00;198
2019/05/02 14:00:00;123
2019/05/02 15:00:00;121
2019/05/02 16:00:00;121
2019/05/02 17:00:00;115
2019/05/02 18:00:00;193
2019/05/02 19:00:00;217
2019/05/02 20:00:00;276
2019/05/02 21:00:00;263
2019/05/02 22:00:00;245
2019/05/02 23:00:00;376
2019/05/03 00:00:00;233
2019/05/03 01:00:00;229
2019/05/03 02:00:00;211
2019/05/03 03:00:00;204
2019/05/03 04:00:00;112
2019/05/03 05:00:00;164
2019/05/03 06:00:00;125
2019/05/03 07:00:00;115
2019/05/03 08:00:00;188
2019/05/03 09:00:00;113
2019/05/03 10:00:00;200
2019/05/03 11:00:00;283
2019/05/03 12:00:00;312
2019/05/03 13:00:00;310
2019/05/03 14:00:00;316
2019/05/03 15:00:00;226
2019/05/03 16:00:00;907
2019/05/03 17:00:00;286
2019/05/03 18:00:00;288
2019/05/03 19:00:00;644
2019/05/03 20:00:00;314
2019/05/03 21:00:00;218
2019/05/03 22:00:00;178
2019/05/03 23:00:00;166
2019/05/04 00:00:00;159
2019/05/04 01:00:00;200
2019/05/04 02:00:00;166
2019/05/04 03:00:00;125
2019/05/04 04:00:00;121
2019/05/04 05:00:00;113
2019/05/04 06:00:00;112
2019/05/04 07:00:00;111
2019/05/04 08:00:00;115
2019/05/04 09:00:00;118
2019/05/04 10:00:00;190
2019/05/04 11:00:00;940
2019/05/04 12:00:00;662
2019/05/04 13:00:00;115
2019/05/04 14:00:00;113
2019/05/04 15:00:00;113
2019/05/04 16:00:00;121
2019/05/04 17:00:00;118
2019/05/04 18:00:00;113
2019/05/04 19:00:00;113
2019/05/04 20:00:00;112
2019/05/04 21:00:00;120
2019/05/04 22:00:00;120
2019/05/04 23:00:00;112
2019/05/05 00:00:00;112
2019/05/05 01:00:00;112
2019/05/05 02:00:00;111
2019/05/05 03:00:00;118
2019/05/05 04:00:00;117
2019/05/05 05:00:00;115
2019/05/05 06:00:00;112
2019/05/05 07:00:00;111
2019/05/05 08:00:00;112
2019/05/05 09:00:00;112
2019/05/05 10:00:00;115
2019/05/05 11:00:00;116
2019/05/05 12:00:00;116
2019/05/05 13:00:00;136
2019/05/05 14:00:00;644
