date;value
2019/03/01 00:00:00;138
2019/03/01 01:00:00;107
2019/03/01 02:00:00;105
2019/03/01 03:00:00;106
2019/03/01 04:00:00;106
2019/03/01 05:00:00;104
2019/03/01 06:00:00;104
2019/03/01 07:00:00;104
2019/03/01 08:00:00;284
2019/03/01 09:00:00;143
2019/03/01 10:00:00;189
2019/03/01 11:00:00;866
2019/03/01 12:00:00;405
2019/03/01 13:00:00;291
2019/03/01 14:00:00;243
2019/03/01 15:00:00;229
2019/03/01 16:00:00;205
2019/03/01 17:00:00;187
2019/03/01 18:00:00;248
2019/03/01 19:00:00;249
2019/03/01 20:00:00;810
2019/03/01 21:00:00;342
2019/03/01 22:00:00;157
2019/03/01 23:00:00;171
2019/03/02 00:00:00;146
2019/03/02 01:00:00;127
2019/03/02 02:00:00;128
2019/03/02 03:00:00;130
2019/03/02 04:00:00;102
2019/03/02 05:00:00;109
2019/03/02 06:00:00;104
2019/03/02 07:00:00;103
2019/03/02 08:00:00;97
2019/03/02 09:00:00;105
2019/03/02 10:00:00;155
2019/03/02 11:00:00;144
2019/03/02 12:00:00;252
2019/03/02 13:00:00;159
2019/03/02 14:00:00;103
2019/03/02 15:00:00;155
2019/03/02 16:00:00;198
2019/03/02 17:00:00;159
2019/03/02 18:00:00;207
2019/03/02 19:00:00;186
2019/03/02 20:00:00;100
2019/03/02 21:00:00;118
2019/03/02 22:00:00;987
2019/03/02 23:00:00;501
2019/03/03 00:00:00;921
2019/03/03 01:00:00;338
2019/03/03 02:00:00;386
2019/03/03 03:00:00;103
2019/03/03 04:00:00;106
2019/03/03 05:00:00;104
2019/03/03 06:00:00;105
2019/03/03 07:00:00;106
2019/03/03 08:00:00;105
2019/03/03 09:00:00;308
2019/03/03 10:00:00;191
2019/03/03 11:00:00;254
2019/03/03 12:00:00;213
2019/03/03 13:00:00;168
2019/03/03 14:00:00;963
2019/03/03 15:00:00;251
2019/03/03 16:00:00;184
2019/03/03 17:00:00;220
2019/03/03 18:00:00;236
2019/03/03 19:00:00;235
2019/03/03 20:00:00;294
2019/03/03 21:00:00;375
2019/03/03 22:00:00;224
2019/03/03 23:00:00;265
2019/03/04 00:00:00;341
2019/03/04 01:00:00;280
2019/03/04 02:00:00;143
2019/03/04 03:00:00;112
2019/03/04 04:00:00;105
2019/03/04 05:00:00;103
2019/03/04 06:00:00;103
2019/03/04 07:00:00;102
2019/03/04 08:00:00;103
2019/03/04 09:00:00;103
2019/03/04 10:00:00;253
2019/03/04 11:00:00;565
2019/03/04 12:00:00;389
2019/03/04 13:00:00;272
2019/03/04 14:00:00;920
2019/03/04 15:00:00;597
2019/03/04 16:00:00;238
2019/03/04 17:00:00;646
2019/03/04 18:00:00;551
2019/03/04 19:00:00;293
2019/03/04 20:00:00;140
2019/03/04 21:00:00;453
2019/03/04 22:00:00;381
2019/03/04 23:00:00;430
2019/03/05 00:00:00;385
2019/03/05 01:00:00;136
2019/03/05 02:00:00;105
2019/03/05 03:00:00;104
2019/03/05 04:00:00;104
2019/03/05 05:00:00;103
2019/03/05 06:00:00;101
2019/03/05 07:00:00;96
2019/03/05 08:00:00;299
2019/03/05 09:00:00;156
2019/03/05 10:00:00;134
2019/03/05 11:00:00;248
2019/03/05 12:00:00;430
2019/03/05 13:00:00;261
2019/03/05 14:00:00;668
2019/03/05 15:00:00;443
2019/03/05 16:00:00;104
2019/03/05 17:00:00;581
2019/03/05 18:00:00;369
2019/03/05 19:00:00;262
2019/03/05 20:00:00;466
2019/03/05 21:00:00;417
2019/03/05 22:00:00;217
2019/03/05 23:00:00;286
2019/03/06 00:00:00;333
2019/03/06 01:00:00;246
2019/03/06 02:00:00;105
2019/03/06 03:00:00;102
2019/03/06 04:00:00;103
2019/03/06 05:00:00;102
2019/03/06 06:00:00;104
2019/03/06 07:00:00;103
2019/03/06 08:00:00;131
2019/03/06 09:00:00;162
2019/03/06 10:00:00;384
2019/03/06 11:00:00;858
2019/03/06 12:00:00;1102
2019/03/06 13:00:00;676
2019/03/06 14:00:00;307
2019/03/06 15:00:00;383
2019/03/06 16:00:00;151
2019/03/06 17:00:00;152
2019/03/06 18:00:00;151
2019/03/06 19:00:00;151
2019/03/06 20:00:00;278
2019/03/06 21:00:00;155
2019/03/06 22:00:00;108
2019/03/06 23:00:00;104
2019/03/07 00:00:00;102
2019/03/07 01:00:00;101
2019/03/07 02:00:00;102
2019/03/07 03:00:00;102
2019/03/07 04:00:00;102
2019/03/07 05:00:00;101
2019/03/07 06:00:00;103
2019/03/07 07:00:00;106
2019/03/07 08:00:00;101
2019/03/07 09:00:00;102
2019/03/07 10:00:00;636
2019/03/07 11:00:00;672
2019/03/07 12:00:00;656
2019/03/07 13:00:00;307
2019/03/07 14:00:00;226
2019/03/07 15:00:00;119
2019/03/07 16:00:00;126
2019/03/07 17:00:00;228
2019/03/07 18:00:00;242
2019/03/07 19:00:00;234
2019/03/07 20:00:00;286
2019/03/07 21:00:00;130
2019/03/07 22:00:00;355
2019/03/07 23:00:00;444
2019/03/08 00:00:00;397
2019/03/08 01:00:00;369
2019/03/08 02:00:00;360
2019/03/08 03:00:00;318
2019/03/08 04:00:00;131
2019/03/08 05:00:00;131
2019/03/08 06:00:00;189
2019/03/08 07:00:00;143
2019/03/08 08:00:00;354
2019/03/08 09:00:00;156
2019/03/08 10:00:00;158
2019/03/08 11:00:00;291
2019/03/08 12:00:00;355
2019/03/08 13:00:00;706
2019/03/08 14:00:00;644
2019/03/08 15:00:00;267
2019/03/08 16:00:00;226
2019/03/08 17:00:00;294
2019/03/08 18:00:00;238
2019/03/08 19:00:00;232
2019/03/08 20:00:00;249
2019/03/08 21:00:00;129
2019/03/08 22:00:00;111
2019/03/08 23:00:00;108
2019/03/09 00:00:00;103
2019/03/09 01:00:00;100
2019/03/09 02:00:00;105
2019/03/09 03:00:00;98
2019/03/09 04:00:00;300
2019/03/09 05:00:00;157
2019/03/09 06:00:00;103
2019/03/09 07:00:00;97
2019/03/09 08:00:00;103
2019/03/09 09:00:00;96
2019/03/09 10:00:00;103
2019/03/09 11:00:00;101
